orig_year,9,C,N,P
1999,6e-05,0.22192,0.28364,0.49438
2000,0.0,0.16096,0.15444,0.6846
2001,0.0,0.31128,0.39308,0.29564
2002,0.0,0.30748,0.4484,0.24412
2003,0.0,0.27738,0.54246,0.18016
2004,0.0,0.29648,0.34024,0.36328
2005,0.0,0.38392,0.2331,0.38298
2006,0.0,0.37332,0.16354,0.46314
2007,0.0,0.35964,0.18914,0.45122
2008,0.0,0.31182,0.27208,0.4161
2009,0.0,0.28274,0.50852,0.20874
2010,0.0,0.21884,0.57052,0.21064
2011,0.0,0.18416,0.58672,0.22912
2012,0.0,0.15008,0.68014,0.16978
2013,0.0,0.16174,0.5384,0.29986
2014,0.0,0.17332,0.32816,0.49852
2015,0.0,0.20666,0.35026,0.44308
2016,0.0,0.22578,0.33478,0.43944
2017,0.0,0.22796,0.2014,0.57064
2018,0.0,0.20876,0.12298,0.66826
2019,0.0,0.21034,0.23226,0.5574
2020,0.0,0.19374,0.50558,0.30068
2021,0.0,0.27634,0.3786,0.34506
2022,0.0,0.24472,0.08678,0.6685
2023,0.0,0.11974,0.0389,0.84136
2024,0.0,0.12152,0.062053333333333335,0.8164266666666666
